Avg_Timestamp,Source,N_Objects,Avg_Speed,Avg_Acceleration,Approaching,Accelerating,Group
1723801703170,3,0,0.0,0.0,1,1,121000
1723801703170,2,3,0.17631152,0.2067535003530272,1,1,121000
1723801703170,2,3,2.6880391833333337,0.3066281166666667,0,0,121000
1723801703381,2,3,0.1640732766666666,0.0021687352196938,1,1,121000
1723801703381,2,3,2.6640807333333334,0.1128248466666666,0,0,121000
1723801703478,2,3,0.1640732766666666,0.0357205096469728,1,1,121000
1723801703478,2,3,2.6877667666666665,0.2243958366666666,0,0,121000
1723801703478,3,0,0.0,0.0,1,1,121000
1723801703478,3,9,1.0457672111111112,0.002966635700347,0,0,121000
1723801703568,3,9,1.0515062666666666,0.0107922679225692,0,0,121000
1723801703568,3,0,0.0,0.0,1,1,121000
1723801703568,2,3,2.7025955666666666,0.1554671666666666,0,0,121000
1723801703568,2,3,0.1640732766666666,0.0408476713136394,1,1,121000
1723801703778,2,3,0.1640732766666666,0.0093553436469728,1,1,121000
1723801703778,2,3,2.835590366666666,0.4546878509999999,0,0,121000
1723801703876,2,3,0.1640732866666666,0.0027492116469728,1,1,121000
1723801703876,2,3,2.86932365,0.4813250216666667,0,0,121000
1723801703876,3,0,0.0,0.0,1,1,121000
1723801703876,3,10,1.13252517,0.0224716478696876,0,0,121000
1723801703976,3,0,0.0,0.0,1,1,121000
1723801703976,3,10,1.14674829,0.0763267611303123,0,0,121000
1723801704175,2,3,2.898392533333334,0.0885349863333333,0,0,121000
1723801704175,2,3,0.13489425,0.1197380729803061,1,1,121000
1723801704376,3,0,0.0,0.0,1,1,121000
1723801704376,3,10,1.0914322800000005,0.1050828201696876,0,0,121000
1723801704570,2,3,0.0507712933333333,0.1502869529803061,1,1,121000
1723801704570,2,3,3.0342155833333333,0.3978011443666667,0,0,121000
1723801704778,3,0,0.0,0.0,1,1,121000
1723801704778,3,10,1.08347865,0.0035659127703123,0,0,121000
1723801704778,2,3,0.0507712933333333,0.0017340601803061,1,1,121000
1723801704778,2,3,3.1343024,0.3910073066666666,0,0,121000
1723801704870,2,3,3.122188933333333,0.1494117932666666,0,0,121000
1723801704870,2,3,0.0507713,0.0098475543530271,1,1,121000
1723801704870,3,10,1.0507344660000002,0.1134805838696876,0,0,121000
1723801704870,3,0,0.0,0.0,1,1,121000
1723801705092,3,0,0.0,0.0,1,1,121000
1723801705092,3,9,1.138724166666667,0.1542630032157283,0,0,121000
1723801705268,3,0,0.0,0.0,1,1,121000
1723801705268,3,9,1.1179022000000003,0.121980570993506,0,0,121000
1723801705268,2,3,0.1905365666666666,0.4794199336863605,1,1,121000
1723801705268,2,2,2.14020635,0.0321743419999999,0,0,121000
1723801705362,3,0,0.0,0.0,1,1,121000
1723801705362,3,9,1.1112635822222223,0.0808844176601727,0,0,121000
1723801705578,3,9,1.1172045666666668,0.0186943012287161,0,0,121000
1723801705578,3,1,6.1343093,0.0,1,1,121000
1723801705578,2,3,0.0499086133333333,0.4454239329803062,1,1,121000
1723801705578,2,2,2.17116315,0.1104654460999999,0,0,121000
1723801705769,2,3,0.0499086166666666,0.1481866429803061,1,1,121000
1723801705769,2,1,3.2210314,0.16962151,0,0,121000
1723801705769,3,1,6.0871944,0.19248194,1,1,121000
1723801705769,3,9,1.0951345222222224,0.072169770993506,0,0,121000
1723801705868,2,1,3.2210317,0.16784622,0,0,121000
1723801705868,2,3,0.0499086166666666,0.0582200396469728,1,1,121000
1723801706078,2,1,3.2210317,0.031027205,0,0,122000
1723801706078,2,3,0.1173658766666666,0.2537594670196939,1,1,122000
1723801706078,3,1,6.1255913,0.34635702,1,1,122000
1723801706078,3,9,1.0904340888888893,0.0337429732738518,0,0,122000
1723801706276,2,4,0.4418863075,0.1613152790569604,1,1,122000
1723801706276,2,1,3.1702392,0.1719844,0,0,122000
1723801706374,2,4,0.4418863075,0.0978442865569603,1,1,122000
1723801706374,2,1,3.1702392,0.19126621,0,0,122000
1723801706374,3,1,5.964911,0.54910576,1,1,122000
1723801706374,3,9,1.0696634722222225,0.0322860355372592,0,0,122000
1723801706572,2,4,0.441886275,0.0037537207477146,1,1,122000
1723801706572,2,1,3.1753762,0.016743388,0,0,122000
1723801706572,3,9,1.0526325444444449,0.038698932590037,0,0,122000
1723801706572,3,1,5.972657,0.26480225,1,1,122000
1723801706758,3,1,6.3956294,1.6276045,1,1,122000
1723801706758,3,10,1.0461259430000005,0.0929719088010666,0,0,122000
1723801706886,2,4,0.441886275,0.0038173323727146,1,1,122000
1723801706886,2,1,3.3550189,0.6194004,0,0,122000
1723801707067,2,4,0.4418862,0.0003690281896296,1,1,122000
1723801707067,2,1,3.4492226,0.73923296,0,0,122000
1723801707067,3,1,6.3731303,0.032859236,1,1,122000
1723801707067,3,10,1.0315918940000002,0.0454533026302366,0,0,122000
1723801707188,2,4,0.441886175,0.0004421124062953,1,1,122000
1723801707188,2,1,3.5280554,0.63743496,0,0,122000
1723801707374,3,9,0.6926995822222222,0.2158371429256481,0,0,122000
1723801707374,3,1,6.104436,0.82108474,1,1,122000
1723801707569,2,1,3.6586542,0.4590701,0,0,122000
1723801707569,2,3,0.4724823666666666,1.3509160614333333e-07,1,1,122000
1723801707781,3,1,6.2220387,0.49115705,1,1,122000
1723801707781,3,9,0.7376906855555556,0.0279218694853875,0,0,122000
1723801707781,2,2,0.001,5.29540785e-10,1,1,122000
1723801707781,2,1,3.5745718,0.18295535,0,0,122000
1723801707872,3,1,6.2827864,0.72259957,1,1,122000
1723801707872,3,9,0.7441798122222223,0.0983062150072847,0,0,122000
1723801707872,2,2,0.001,5.29540785e-10,1,1,122000
1723801707872,2,1,3.5972412,0.14085883,0,0,122000
1723801708271,2,1,3.5799024,0.14061208,0,0,222000
1723801708271,2,2,0.001,5.29540785e-10,1,1,222000
1723801708271,3,9,0.8002142700000001,0.2258999687755157,0,0,222000
1723801708271,3,1,6.3573213,0.32763857,1,1,222000
1723801708364,3,1,6.3573213,0.19870883,1,1,222000
1723801708364,3,9,0.7925903255555556,0.2189211832038887,0,0,222000
1723801708576,2,2,0.001,5.29540785e-10,1,1,222000
1723801708576,2,1,3.6247942,0.13598046,0,0,222000
1723801708778,3,2,6.72761915,0.207442015,1,1,222000
1723801708778,3,11,0.8856256881818183,0.0193164495268901,0,0,222000
1723801708877,2,2,0.001,5.29540785e-10,1,1,222000
1723801708877,2,1,3.6247945,0.045064505,0,0,222000
1723801708877,3,2,6.72761915,0.077897055,1,1,222000
1723801708877,3,11,0.8805144063636363,0.0201782238798434,0,0,222000
1723801708970,2,2,0.001,5.29540785e-10,1,1,222000
1723801708970,2,1,3.6247945,0.014953723,0,0,222000
1723801709186,3,2,6.81141235,0.340726993,1,1,222000
1723801709186,3,11,1.1186391345454545,0.1579589603556616,0,0,222000
1723801709186,2,2,0.001,5.29540785e-10,1,1,222000
1723801709186,2,1,3.7687323,0.5068399,0,0,222000
1723801709365,2,2,0.001,5.29540785e-10,1,1,222000
1723801709365,2,1,3.8405538,0.48315793,0,0,222000
1723801709365,3,2,6.8500569,0.2613534,1,1,222000
1723801709365,3,11,1.1748664227272725,0.3474468665374797,0,0,222000
1723801709582,3,2,6.94128665,0.5051024561999999,1,1,222000
1723801709582,3,12,1.2408566558333334,0.0702559196739768,0,0,222000
1723801709582,2,2,0.001,5.29540785e-10,1,1,222000
1723801709582,2,1,3.8405538,0.12604919,0,0,222000
1723801709672,3,2,6.97445875,0.7187855750000001,1,1,222000
1723801709672,3,12,1.2231003191666665,0.1340629837289434,0,0,222000
1723801709672,2,2,0.001,5.29540785e-10,1,1,222000
1723801709672,2,1,3.8405538,0.041782603,0,0,222000
1723801709881,2,2,6.71547975,0.40536527,0,0,222000
1723801709881,2,2,0.001,5.29540785e-10,1,1,222000
1723801710069,3,2,6.8866012,0.3242112865,1,1,222000
1723801710069,3,12,0.98459263,0.3921162262573101,0,0,222000
1723801710069,2,2,0.001,5.29540785e-10,1,1,222000
1723801710069,2,2,6.8602732500000005,0.6908037950000001,0,0,222000
1723801710181,3,2,6.92836975,0.160869135,1,1,222000
1723801710181,3,12,0.9820962216666668,0.1743222330906434,0,0,222000
1723801710181,2,2,0.2837353,0.9776820503585182,1,1,222000
1723801710181,2,1,4.268192,0.7543362,0,0,222000
1723801710368,2,2,0.39307255,1.241236950358518,1,1,222000
1723801710368,2,1,4.3203635,0.41210848,0,0,222000
1723801710582,2,1,4.3774486,0.2103964,0,0,222000
1723801710582,2,2,0.5858496,0.9947113003585182,1,1,222000
1723801710582,3,2,7.0361530000000005,0.42651622455,1,1,222000
1723801710582,3,12,1.02513148,0.2528015229093565,0,0,222000
1723801710762,3,2,7.1100471,0.443180115,1,1,222000
1723801710762,3,12,0.9704093375,0.1373776865906435,0,0,222000
1723801710762,2,2,0.7107028,0.8723372003585182,1,1,222000
1723801710762,2,1,4.168609,0.6148434,0,0,222000
1723801710984,2,1,4.3525486,0.22868598,0,0,222000
1723801710984,3,2,7.2367115,0.46280622,1,1,222000
1723801710984,3,13,1.0800133292307692,0.2390447657190555,0,0,222000
1723801710984,2,2,0.87573945,0.7132248503585182,1,1,222000
1723801711072,2,2,0.9326142,0.7026587503585182,1,1,222000
